word, count
multitude, 2
increase, 1
catalogue, 1
printers, 1
found, 12
frequently, 1
offending, 1
importation, 2
exact, 1
deficient, 1
reform, 1
according, 4
model, 1
seville, 1
abhor, 1
condescend, 1
fruitless, 1
defective, 1
whereto, 1
prevent, 2
schisms, 7
unread, 1
uncatechized, 1
refusing, 1
preserving, 1
unmixed, 1
schism, 3
spread, 1
asia, 1
gospel, 3
amendment, 1
aimed, 2
italy, 1
spain, 1
places, 3
scruple, 1
honester, 1
wiser, 1
chaster, 1
inquisitional, 1
miss, 1
seeks, 2
quality, 1
ought, 3
denied, 3
sit, 2
birth, 1
death, 3
wafted, 1
mistakes, 1
censure, 3
passable, 1
behooves, 1
tedious, 2
unpleasing, 1
levied, 1
head, 1
unchosen, 1
pamphlets, 1
acceptable, 1
enjoined, 1
legible, 1
pages, 1
fairest, 1
print, 4
imposition, 1
values, 1
sensible, 1
nostril, 1
crave, 1
pardoned, 1
doubtless, 3
looking, 1
unlaborious, 1
short, 3
wearied, 1
excuses, 1
journeys, 1
solicit, 1
licence, 5
possess, 1
evident, 1
signs, 2
rid, 1
unthrift, 1
hours, 1
succeed, 1
salary, 1
imperious, 1
basely, 1
conduce, 1
bears, 1
proceed, 1
hurt, 1
affront, 1
complaint, 2
lamentation, 1
pluralities, 1
distribute, 1
revenues, 1
dashed, 1
tenth, 1
stood, 1
